Dates,NAV,SP500 NAV,Yearly Ret,SP Yearly Ret,Opt Failed Dates
1995-07-05,1.0,1.0,0.21479033820616444,0.1011976281824194,
1995-07-06,1.0149043081187714,1.012828531361079,,,
1995-07-07,1.0193045029528234,1.0173892421332504,,,
1995-07-10,1.0193087849366111,1.0179594715523088,,,
1995-07-11,1.0237257932264578,1.013113702225928,,,
1995-07-12,1.028422383441887,1.0256556009151636,,,
1995-07-13,1.0296223547963397,1.0233754702977478,,,
1995-07-14,1.034009919606687,1.0225202949298988,,,
1995-07-17,1.0329810845622438,1.0282212396241281,,,
1995-07-18,1.0274937814808236,1.0193847640285754,,,
1995-07-19,1.0139674986875515,1.0082664710925535,,,
1995-07-20,1.012896130694572,1.0119730184717526,,,
1995-07-21,1.0118564075857424,1.010832559633636,,,
1995-07-24,1.0228928799156425,1.018244417501099,,,
1995-07-25,1.0247808379314824,1.0259413339227712,,,
1995-07-26,1.030189309730438,1.0250861585549225,,,
1995-07-27,1.03873189599548,1.0336380254283841,,,
1995-07-28,1.0355573263035096,1.0270810057020705,,,
1995-07-31,1.033638275125071,1.0245158165304453,,,
1995-08-01,1.0304321638725962,1.0228050159626303,,,
1995-08-02,1.0287503111705645,1.0205248853452142,,,
1995-08-03,1.0281716310519013,1.0202396021697246,,,
1995-08-04,1.0326024670035328,1.0213798360917823,,,
1995-08-07,1.0309757826087318,1.0236606411625968,,,
1995-08-08,1.032098070270397,1.0236606411625968,,,
1995-08-09,1.0367271725758445,1.0233754702977478,,,
1995-08-10,1.037598894243634,1.0210948898482135,,,
1995-08-11,1.038898286310697,1.0153936079272854,,,
1995-08-14,1.0428045627238909,1.0245158165304453,,,
1995-08-15,1.043625089858033,1.0225202949298988,,,
1995-08-16,1.049837845478607,1.0253707672770136,,,
1995-08-17,1.0524974541934933,1.0236606411625968,,,
1995-08-18,1.0506490204138086,1.0248005378579552,,,
1995-08-21,1.0538060968701335,1.0219502904268998,,,
1995-08-22,1.05418707165462,1.0239460369435052,,,
1995-08-23,1.0538876098562573,1.0202396021697246,,,
1995-08-24,1.050388503205485,1.0213798360917823,,,
1995-08-25,1.060332218116069,1.0270810057020705,,,
1995-08-28,1.0538502593292696,1.0233754702977478,,,
1995-08-29,1.0534742126506744,1.0259413339227712,,,
1995-08-30,1.058074615805676,1.0282212396241281,,,
1995-08-31,1.0660665155905766,1.0290765275973954,,,
1995-09-01,1.0737443847819461,1.0336380254283841,,,
1995-09-05,1.0861420739649223,1.0433294514757265,,,
1995-09-06,1.0902915527264996,1.0453255355138096,,,
1995-09-07,1.0942548704926738,1.0458952027901098,,,
1995-09-08,1.0956088649874838,1.0498864714968186,,,
1995-09-11,1.0954234334591264,1.0527369438439333,,,
1995-09-12,1.0968593617806885,1.0575829380863728,,,
1995-09-13,1.09572506925837,1.0624289320340339,,,
1995-09-14,1.099287923183912,1.072121932493789,,,
1995-09-15,1.0928982798687408,1.071825741626385,,,
1995-09-18,1.0902986373945414,1.0678135574948613,,,
1995-09-19,1.0850281901419943,1.0729718230711978,,,
1995-09-20,1.0853075392874878,1.0781306504955137,,,
1995-09-21,1.084715409775348,1.0692463842169364,,,
1995-09-22,1.080778271494639,1.069532904283361,,,
1995-09-25,1.0816620106331007,1.0678135574948613,,,
1995-09-26,1.0758484769187895,1.0675272620497172,,,
1995-09-27,1.070143862996402,1.0666671388233493,,,
1995-09-28,1.0733767447011942,1.0746915070863965,,,
1995-09-29,1.0720919550359975,1.0726851901045757,,,
1995-10-02,1.07075559859465,1.067240404461815,,,
1995-10-03,1.0671276589613157,1.0683862609905688,,,
1995-10-04,1.0627542878955145,1.067240404461815,,,
1995-10-05,1.0643254931835828,1.0703928025936698,,,
1995-10-06,1.0670086548544881,1.0712520264505803,,,
1995-10-09,1.0507522402672842,1.0623683220199824,,,
1995-10-10,1.0405039325650898,1.0617947191548178,,,
1995-10-11,1.0459108399187096,1.065233862563935,,,
1995-10-12,1.0564924965422258,1.071825741626385,,,
1995-10-13,1.0667977658050216,1.0752648850355022,,,
1995-10-16,1.068515539457816,1.0701059450057675,,,
1995-10-17,1.07724961301841,1.0772706398745646,,,
1995-10-18,1.0831237847396609,1.0804227007797205,,,
1995-10-19,1.078946738548254,1.0855817531200955,,,
1995-10-20,1.071932729330144,1.0789904364951823,,,
1995-10-23,1.0696861584773392,1.0766970370094002,,,
1995-10-24,1.0610245108871277,1.0778440178236703,,,
1995-10-25,1.0478974730246058,1.0689595263342555,,,
1995-10-26,1.042942944016907,1.0592158112827086,,,
1995-10-27,1.0435489637908189,1.067240404461815,,,
1995-10-30,1.0517279879810117,1.074117679305173,,,
1995-10-31,1.0451758612400202,1.069532904283361,,,
1995-11-01,1.0519118325419745,1.0781306504955137,,,
1995-11-02,1.0716701274666849,1.08500837517099,,,
1995-11-03,1.0778630863170369,1.0864412015982865,,,
1995-11-06,1.0772136625184376,1.0827152006012668,,,
1995-11-07,1.0736092950791782,1.07870369121792,,,
1995-11-08,1.0811929704918646,1.0884477434961661,,,
1995-11-09,1.0880057646667352,1.0924593654849315,,,
1995-11-10,1.0911195373550637,1.0918867745946432,,,
1995-11-13,1.0853292070023906,1.0907401310070721,,,
1995-11-14,1.0755514027985742,1.083575661054334,,,
1995-11-15,1.072229034448088,1.0944655698613335,,,
1995-11-16,1.0724519082707054,1.100484183285318,,,
1995-11-17,1.0744429964710314,1.1039227645516771,,,
1995-11-20,1.0636692722184498,1.0981911213210138,,,
1995-11-21,1.0609474288191652,1.1070753875995911,,,
1995-11-22,1.0579503741421916,1.1036361318798338,,,
1995-11-24,1.0728701252430481,1.1065022345665445,,,
1995-11-27,1.070816588811577,1.1067892047598658,,,
1995-11-28,1.0825145344781901,1.1185383371289974,,,
1995-11-29,1.0904049983408242,1.1196848681111493,,,
1995-11-30,1.098210560174878,1.1171058479284002,,,
1995-12-01,1.0962092441633975,1.1185383371289974,,,
1995-12-04,1.113061428300379,1.1322946858494072,,,
1995-12-05,1.1214205842419065,1.1397459010794078,,,
1995-12-06,1.1304566826979272,1.1423252584888561,,,
1995-12-07,1.1300983344873747,1.13630720720763,,,
1995-12-08,1.1296054230580177,1.1400326463566697,,,
1995-12-11,1.125100409135864,1.1449045035876646,,,
1995-12-12,1.1232540863754363,1.1414652478679073,,,
1995-12-13,1.1295555140906637,1.148629942441926,,,
1995-12-14,1.1146333428052166,1.140319279028513,,,
