Dates,NAV,SP500 NAV,Yearly Ret,SP Yearly Ret,Opt Failed Dates
1997-01-03,1.0,1.0,0.16078901895463216,0.09239405594187633,
1997-01-06,1.0037154849308916,0.9912616469276028,,,
1997-01-07,1.007730928703537,1.0033294379667117,,,
1997-01-08,1.0028636974378584,0.9945901303723272,,,
1997-01-09,1.0119676620696232,1.0029130494908762,,,
1997-01-10,1.011859729551801,1.0137325497507668,,,
1997-01-13,1.010781671818985,1.0122763035205382,,,
1997-01-14,1.019030982908107,1.0249690751820635,,,
1997-01-15,1.0161944409032366,1.0224725732887785,,,
1997-01-16,1.019693775710005,1.0266335953153614,,,
1997-01-17,1.0266971895730197,1.0328755259510778,,,
1997-01-20,1.03191219656736,1.0341243735521677,,,
1997-01-21,1.023687493704362,1.0424468947620533,,,
1997-01-22,1.024396132057705,1.049937434211952,,,
1997-01-23,1.0181934599152938,1.0353724255444785,,,
1997-01-24,1.0128777641474345,1.02205554832592,,,
1997-01-27,1.011413217043979,1.0191437716005425,,,
1997-01-28,1.0125587498472286,1.02205554832592,,,
1997-01-29,1.0158716827459517,1.0320434647344867,,,
1997-01-30,1.0365655110397163,1.0453602622878937,,,
1997-01-31,1.0486666927671053,1.0441114148953512,,,
1997-02-03,1.0485488052104388,1.0472324995023896,,,
1997-02-04,1.0563145734343713,1.0536829426195353,,,
1997-02-05,1.0469678746427251,1.0339151449185635,,,
1997-02-06,1.0424372455276256,1.040782135841848,,,
1997-02-07,1.054204643819161,1.0549313925205093,,,
1997-02-10,1.0543800694201741,1.044944032933814,,,
1997-02-11,1.0562121160694262,1.0570121422164345,,,
1997-02-12,1.0666104827153027,1.0719933007813836,,,
1997-02-13,1.0825657001456594,1.0836451010447727,,,
1997-02-14,1.0822764264112417,1.0811485196948836,,,
1997-02-18,1.0838755661282686,1.090303738399836,,,
1997-02-19,1.0843255923048671,1.0830213931878552,,,
1997-02-20,1.081926262662771,1.06991263075061,,,
1997-02-21,1.0824605150999937,1.0703287806480857,,,
1997-02-24,1.086024257402993,1.0830213931878552,,,
1997-02-25,1.0951952823568807,1.083853613526202,,,
1997-02-26,1.0859038344581133,1.0732419892607177,,,
1997-02-27,1.0770636177112287,1.0572205750327122,,,
1997-02-28,1.076010913984908,1.0540991721821622,,,
1997-03-03,1.084890959244672,1.0611741982216087,,,
1997-03-04,1.0952425422707515,1.0553477015397406,,,
1997-03-05,1.1194873270939376,1.0732419892607177,,,
1997-03-06,1.124798728307838,1.0669997403814895,,,
1997-03-07,1.1337322995966208,1.0765711091924652,,,
1997-03-10,1.13671683977106,1.0878076344152143,,,
1997-03-11,1.1403212858870941,1.0819809786115904,,,
1997-03-12,1.1355261762090487,1.0724092121004993,,,
1997-03-13,1.1233690101157248,1.0557636923154603,,,
1997-03-14,1.126631795540365,1.0611741982216087,,,
1997-03-17,1.130233949878379,1.0640866112254617,,,
1997-03-18,1.119224511336585,1.0526429259519339,,,
1997-03-19,1.11963581772537,1.0491056912388725,,,
1997-03-20,1.1158012811957767,1.043695980941503,,,
1997-03-21,1.1075064976984748,1.0485277274457092,,,
1997-03-24,1.1098935321915906,1.063148503804814,,,
1997-03-25,1.1127933445206009,1.0527052966750612,,,
1997-03-26,1.1073478884991845,1.0573001296541793,,,
1997-03-27,1.084669414799143,1.029311720198823,,,
1997-03-31,1.0610280023373355,1.007589664587495,,,
1997-04-01,1.0712862590342975,1.0140646900347081,,,
1997-04-02,1.0609721746117302,0.9958933137777937,,,
1997-04-03,1.0530036357342403,1.0013228331696522,,,
1997-04-04,1.061416431106284,1.0138557001880115,,,
1997-04-07,1.0686833648968317,1.017823802413947,,,
